time_s,total_energy_J
1.577880e+06,-1.982536e+35
3.155760e+06,-1.982536e+35
4.733640e+06,-1.982536e+35
6.311520e+06,-1.982536e+35
7.889400e+06,-1.982536e+35
9.467280e+06,-1.982536e+35
1.104516e+07,-1.982536e+35
1.262304e+07,-1.982536e+35
1.420092e+07,-1.982536e+35
1.577880e+07,-1.982536e+35
1.735668e+07,-1.982536e+35
1.893456e+07,-1.982536e+35
2.051244e+07,-1.982536e+35
2.209032e+07,-1.982536e+35
2.366820e+07,-1.982536e+35
2.524608e+07,-1.982536e+35
2.682396e+07,-1.982536e+35
2.840184e+07,-1.982536e+35
2.997972e+07,-1.982536e+35
3.155760e+07,-1.982536e+35
3.313548e+07,-1.982536e+35
3.471336e+07,-1.982536e+35
3.629124e+07,-1.982536e+35
3.786912e+07,-1.982536e+35
3.944700e+07,-1.982536e+35
4.102488e+07,-1.982536e+35
4.260276e+07,-1.982536e+35
4.418064e+07,-1.982536e+35
4.575852e+07,-1.982536e+35
4.733640e+07,-1.982536e+35
4.891428e+07,-1.982536e+35
5.049216e+07,-1.982536e+35
5.207004e+07,-1.982536e+35
5.364792e+07,-1.982536e+35
5.522580e+07,-1.982536e+35
5.680368e+07,-1.982536e+35
5.838156e+07,-1.982536e+35
5.995944e+07,-1.982536e+35
6.153732e+07,-1.982536e+35
6.311520e+07,-1.982536e+35
6.469308e+07,-1.982536e+35
6.627096e+07,-1.982536e+35
6.784884e+07,-1.982536e+35
6.942672e+07,-1.982536e+35
7.100460e+07,-1.982536e+35
7.258248e+07,-1.982536e+35
7.416036e+07,-1.982536e+35
7.573824e+07,-1.982536e+35
7.731612e+07,-1.982536e+35
7.889400e+07,-1.982536e+35
8.047188e+07,-1.982536e+35
8.204976e+07,-1.982536e+35
8.362764e+07,-1.982536e+35
8.520552e+07,-1.982536e+35
8.678340e+07,-1.982536e+35
8.836128e+07,-1.982536e+35
8.993916e+07,-1.982536e+35
9.151704e+07,-1.982536e+35
9.309492e+07,-1.982536e+35
9.467280e+07,-1.982536e+35
9.625068e+07,-1.982536e+35
9.782856e+07,-1.982536e+35
9.940644e+07,-1.982536e+35
1.009843e+08,-1.982536e+35
1.025622e+08,-1.982536e+35
1.041401e+08,-1.982536e+35
1.057180e+08,-1.982536e+35
1.072958e+08,-1.982536e+35
1.088737e+08,-1.982536e+35
1.104516e+08,-1.982536e+35
1.120295e+08,-1.982536e+35
1.136074e+08,-1.982536e+35
1.151852e+08,-1.982536e+35
1.167631e+08,-1.982536e+35
1.183410e+08,-1.982536e+35
1.199189e+08,-1.982536e+35
1.214968e+08,-1.982536e+35
1.230746e+08,-1.982536e+35
1.246525e+08,-1.982536e+35
1.262304e+08,-1.982536e+35
1.278083e+08,-1.982536e+35
1.293862e+08,-1.982536e+35
1.309640e+08,-1.982536e+35
1.325419e+08,-1.982536e+35
1.341198e+08,-1.982536e+35
1.356977e+08,-1.982536e+35
1.372756e+08,-1.982536e+35
1.388534e+08,-1.982536e+35
1.404313e+08,-1.982536e+35
1.420092e+08,-1.982536e+35
1.435871e+08,-1.982536e+35
1.451650e+08,-1.982536e+35
1.467428e+08,-1.982536e+35
1.483207e+08,-1.982536e+35
1.498986e+08,-1.982536e+35
1.514765e+08,-1.982536e+35
1.530544e+08,-1.982536e+35
1.546322e+08,-1.982536e+35
1.562101e+08,-1.982536e+35
1.577880e+08,-1.982536e+35
1.593659e+08,-1.982536e+35
1.609438e+08,-1.982536e+35
